2025-09-02 15:36:30 | ip | 10.16.1.3 | up | 45ms
2025-09-02 15:36:30 | ip | 10.16.8.16 | up | 36ms
2025-09-02 15:36:30 | ip | 10.16.1.7 | up | 41ms
2025-09-02 15:36:35 | ip | 10.16.0.5 | down | ms
2025-09-02 15:36:35 | ip | 10.16.0.127 | up | 45ms
2025-09-02 15:36:40 | ip | 10.16.0.7 | down | ms
2025-09-02 15:36:45 | ip | 172.16.1.1 | down | ms
2025-09-02 15:36:50 | ip | 172.16.1.2 | down | ms
2025-09-02 15:36:50 | ip | 10.16.8.249 | up | 47ms
2025-09-02 15:36:50 | ip | 10.16.8.2 | up | 49ms
2025-09-02 15:36:51 | ip | 10.16.8.5 | up | 1311ms
2025-09-02 15:36:52 | ip | 10.16.8.40 | up | 35ms
2025-09-02 15:36:52 | ip | 10.16.8.4 | up | 45ms
2025-09-02 15:36:53 | ip | 10.16.8.10 | up | 1206ms
2025-09-02 15:36:53 | ip | 10.16.8.7 | up | 41ms
2025-09-02 15:36:54 | ip | 10.16.8.20 | up | 1348ms
2025-09-02 15:36:54 | ip | 10.16.8.25 | up | 34ms
2025-09-02 15:36:54 | ip | 10.16.8.9 | up | 45ms
2025-09-02 15:36:55 | ip | 10.16.8.61 | up | 40ms
2025-09-02 15:36:55 | ip | 10.16.8.6 | up | 40ms
2025-09-02 15:36:55 | ip | 10.16.8.11 | up | 34ms
2025-09-02 15:36:56 | ip | 10.16.8.254 | up | 1126ms
2025-09-02 15:36:56 | ip | 10.16.1.8 | up | 45ms
